row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row2771;CHEMBL2424804;nM;2400;O=C(/C=C/c1ccc(Br)s1)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1;CHEMBL203;5.619788758288394
Row2772;CHEMBL2424807;nM;4100;Clc1cccc(Nc2ncnc3ccc(NCc4cccc(Br)n4)cc23)c1;CHEMBL203;5.3872161432802645
Row2773;CHEMBL2425083;nM;24;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(C1)CS(=O)(=O)C2;CHEMBL203;7.619788758288394
Row2774;CHEMBL2425084;nM;25;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC(O)C1;CHEMBL203;7.6020599913279625
Row2775;CHEMBL2425085;nM;34;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC(OC)C1;CHEMBL203;7.468521082957745
Row2776;CHEMBL2425086;nM;15;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCC2(COC2)C1;CHEMBL203;7.823908740944319
Row2777;CHEMBL2425087;nM;16;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(COC2)C1;CHEMBL203;7.795880017344075
Row2778;CHEMBL2425088;nM;190;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CCO2)C1;CHEMBL203;6.721246399047171
Row2779;CHEMBL2425089;nM;52;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(CSC2)C1;CHEMBL203;7.2839966563652006
Row2780;CHEMBL2425090;nM;26;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC(O)C1;CHEMBL203;7.585026652029182
Row2781;CHEMBL2425091;nM;94;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC(OC)C1;CHEMBL203;7.026872146400302
Row2782;CHEMBL2425092;nM;56;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(COC2)C1;CHEMBL203;7.251811972993799
Row2783;CHEMBL2425093;nM;36;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(CCO2)C1;CHEMBL203;7.443697499232713
Row2784;CHEMBL2425094;nM;48;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(CSC2)C1;CHEMBL203;7.318758762624412
Row2785;CHEMBL242541;nM;29;Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1;CHEMBL203;7.537602002101044
Row2787;CHEMBL2425735;nM;13.5;O=C(CCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;CHEMBL203;7.869666231504994
Row2788;CHEMBL2425736;nM;14.1;Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1;CHEMBL203;7.85078088734462
Row2789;CHEMBL2425737;nM;38.4;O=C(CCOc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;CHEMBL203;7.4156687756324695
Row2790;CHEMBL2426248;nM;2300;COc1ccc(NC(=O)CCCN(C)C)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1;CHEMBL203;5.638272163982407
Row2791;CHEMBL2426277;nM;12000;C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1;CHEMBL203;4.920818753952376
